score,name
1,AccountsPayablesTDays
0.602706662,AccountsPayablesTRate
0.518863986,AdminiExpenseRate
0.4598244,ARTDays
0.424534545,ARTRate
0.366209604,ASSI
0.360951169,BLEV
0.345517084,BondsPayableToAsset
0.337362013,CashRateOfSales
0.299974638,CashToCurrentLiability
0.295162804,CMRA
0.260299478,CTOP
0.247096727,CTP5
0.238369187,CurrentAssetsRatio
0.23563234,CurrentAssetsTRate
0.234369012,CurrentRatio
0.230646917,DAVOL10
0.227464675,DAVOL20
0.210878125,DAVOL5
0.206248193,DDNBT
0.20109388,DDNCR
0.194358482,DDNSR
0.188867964,DebtEquityRatio
0.188517541,DebtsAssetRatio
0.188517123,DHILO
0.186741591,DilutedEPS
0.181042408,DVRAT
0.175746337,EBITToTOR
0.170380015,EGRO
0.166053252,EMA10
0.164833881,EMA120
0.14997352,EMA20
0.14792618,EMA5
0.146709317,EMA60
0.131771595,EPS
0.120266179,EquityFixedAssetRatio
0.114963418,EquityToAsset
0.113615669,EquityTRate
0.105425472,ETOP
0.102012402,ETP5
0.101600509,FinancialExpenseRate
0.097870051,FinancingCashGrowRate
0.097679806,FixAssetRatio
0.097628351,FixedAssetsTRate
0.094285951,GrossIncomeRatio
0.093418675,HBETA
0.09294113,HSIGMA
0.092911022,IntangibleAssetRatio
0.09198813,InventoryTDays
0.090167436,InventoryTRate
0.08842912,InvestCashGrowRate
0.087458975,LCAP
0.085598137,LFLO
0.085538758,LongDebtToAsset
0.082115234,LongDebtToWorkingCapital
0.079459044,LongTermDebtToAsset
0.078134294,MA10
0.076413542,MA120
0.074994705,MA20
0.071066037,MA5
0.071043037,MA60
0.070658743,MAWVAD
0.069847501,MFI
0.069742123,MLEV
0.062767117,NetAssetGrowRate
0.062293753,NetProfitGrowRate
0.06161716,NetProfitRatio
0.059680634,NOCFToOperatingNI
0.056670676,NonCurrentAssetsRatio
0.054391672,NPParentCompanyGrowRate
0.052840277,NPToTOR
0.049154981,OperatingExpenseRate
0.047637875,OperatingProfitGrowRate
0.046292217,OperatingProfitRatio
0.045287783,OperatingProfitToTOR
0.043818766,OperatingRevenueGrowRate
0.042341386,OperCashGrowRate
0.041875549,OperCashInToCurrentLiability
0.038347066,PB
0.037119331,PCF
0.035020138,PE
0.034443905,PS
0.032815985,PSY
0.032772496,QuickRatio
0.03199429,REVS10
0.031563997,REVS20
0.030143069,REVS5
0.026796069,ROA
0.025706329,ROA5
0.025121315,ROE
0.025066117,ROE5
0.024224349,RSI
0.023833364,RSTR12
0.023308148,RSTR24
0.021445637,SalesCostRatio
0.021072633,SaleServiceCashToOR
0.020883204,SUE
0.019431332,TaxRatio
0.018282212,TOBT
0.017518223,TotalAssetGrowRate
0.017474316,TotalAssetsTRate
0.017454244,TotalProfitCostRatio
0.013977194,TotalProfitGrowRate
0.012104648,VOL10
0.011757988,VOL120
0.01098689,VOL20
0.009974929,VOL240
0.009220976,VOL5
0.008056384,VOL60
0.007814266,WVAD
0.007453389,REC
0.004904249,DAREC
0.004483993,GREC
0.003773947,FY12P
0.002976087,DAREV
0.002706788,GREV
0.00208163,SFY12P
0.001816931,DASREV
0.001414655,GSREV
0.000744753,FEARNG
0.000217446,FSALESG
-0.000739735,TA2EV
-0.003307274,CFO2EV
-0.004220966,ACCA
-0.004691403,DEGM
-0.005216201,SUOI
-0.006481989,EARNMOM
-0.008159253,FiftyTwoWeekHigh
-0.010500145,Volatility
-0.010915802,Skewness
-0.01266959,ILLIQUIDITY
-0.015223329,BackwardADJ
-0.017322103,MACD
-0.019053314,ADTM
-0.019358153,ATR14
-0.02011127,ATR6
-0.020308644,BIAS10
-0.022594339,BIAS20
-0.023232042,BIAS5
-0.023876017,BIAS60
-0.024316346,BollDown
-0.025807107,BollUp
-0.028087784,CCI10
-0.028855536,CCI20
-0.028931643,CCI5
-0.029131108,CCI88
-0.029135289,KDJ_K
-0.029165397,KDJ_D
-0.029765047,KDJ_J
-0.029827772,ROC6
-0.031558979,ROC20
-0.032560068,SBM
-0.033552376,STM
-0.039659688,UpRVI
-0.04040026,DownRVI
-0.040497275,RVI
-0.04218541,SRMI
-0.043544449,ChandeSD
-0.04439458,ChandeSU
-0.044406289,CMO
-0.044635444,DBCD
-0.046367905,ARC
-0.047589786,OBV
-0.047867448,OBV6
-0.048060223,OBV20
-0.048458735,TVMA20
-0.048470861,TVMA6
-0.0498437,TVSTD20
-0.05052531,TVSTD6
-0.051445275,VDEA
-0.054012814,VDIFF
-0.05540907,VEMA10
-0.055687568,VEMA12
-0.056543972,VEMA26
-0.056809089,VEMA5
-0.05818151,VMACD
-0.058190291,VOSC
-0.058340831,VR
-0.059077639,VROC12
-0.059707815,VROC6
-0.060045693,VSTD10
-0.06058889,VSTD20
-0.060658306,KlingerOscillator
-0.061532691,MoneyFlow20
-0.061647268,AD
-0.061864715,AD20
-0.063245916,AD6
-0.063256789,CoppockCurve
-0.063743534,ASI
-0.066024629,ChaikinOscillator
-0.066422304,ChaikinVolatility
-0.068547842,EMV14
-0.068930463,EMV6
-0.070399062,plusDI
-0.070610654,minusDI
-0.07214825,ADX
-0.072550107,ADXR
-0.072626632,Aroon
-0.073640266,AroonDown
-0.07439631,AroonUp
-0.075960668,DEA
-0.076516411,DIFF
-0.076577463,DDI
-0.07790054,DIZ
-0.080949387,DIF
-0.081259666,MTM
-0.081428605,MTMMA
-0.081452022,PVT
-0.081757702,PVT6
-0.082342298,PVT12
-0.082819843,TRIX5
-0.082951565,TRIX10
-0.083533234,UOS
-0.08377577,MA10RegressCoeff12
-0.084326077,MA10RegressCoeff6
-0.084328586,PLRC6
-0.084655591,PLRC12
-0.084808222,SwingIndex
-0.085597301,Ulcer10
-0.088248473,Ulcer5
-0.088275653,Hurst
-0.089705362,ACD6
-0.093434148,ACD20
-0.095242297,EMA12
-0.096430306,EMA26
-0.09773122,APBMA
-0.097733311,BBI
-0.09837645,BBIC
-0.099400538,TEMA10
-0.101109164,TEMA5
-0.108426649,MA10Close
-0.111412771,AR
-0.114450328,BR
-0.114559888,ARBR
-0.11612801,CR20
-0.120369048,MassIndex
-0.123750756,BearPower
-0.129481719,BullPower
-0.13270536,Elder
-0.136848547,NVI
-0.184810919,PVI
-0.19810274,RC12
-0.20590906,RC24
-0.370188871,JDQS20
