key,score,feature_type
BIAS5,0.489884364,obos
SWINGINDEX,0.456064292,trend
CCI5,0.365926431,obos
BIAS10,0.347759475,obos
REVS5,0.304333978,obos
CCI10,0.292461738,obos
KDJ_J,0.289152283,obos
VOLUMN1M,0.279617604,obos
REVS5INDU1,0.275065731,obos
ROC6,0.257676475,obos
PRICE1M,0.256329538,obos
BIAS20,0.251288776,obos
RVI,0.233508304,obos
CCI20,0.222705453,obos
REVS10,0.218135547,obos
KDJ_K,0.211714141,obos
SRMI,0.208458227,obos
ELDER,0.207534496,power
PLUSDI,0.206083709,trend
REALIZEDVOLATILITY,0.202714071,return
PEHIST20,0.198093084,vs
UOS,0.195227638,trend
RC12,0.18793421,power
VROC6,0.185720024,volume
RSI,0.1805944,obos
VROC12,0.178512564,volume
ACD6,0.169632047,ma
PRICE3M,0.154667235,obos
BULLPOWER,0.15440381,power
BIAS60,0.150135071,obos
REVS20,0.149909471,obos
CMO,0.147089491,obos
MTM,0.146426894,trend
PLRC6,0.1456829,trend
INFORMATIONRATIO20,0.14429826,return
ROC20,0.142822745,obos
SHARPERATIO20,0.141699958,return
RANK1M,0.141301314,obos
ALPHA20,0.137185961,return
FIFTYTWOWEEKHIGH,0.13301036,obos
RC24,0.130507513,power
REVS20INDU1,0.127261208,obos
ASI,0.124663035,trend
PSY,0.122514717,power
BR,0.120341481,power
CCI88,0.114912536,obos
CR20,0.107897192,power
BETA252,0.107843327,return
VR,0.106672644,volume
KDJ_D,0.106049417,obos
DIZ,0.101338258,trend
DDI,0.101317423,trend
DBCD,0.101236473,obos
SKEWNESS,0.099343665,obos
MFI,0.096943014,obos
BEARPOWER,0.096756317,power
VMACD,0.093023825,volume
INFORMATIONRATIO60,0.091966468,return
ALPHA60,0.091468469,return
SHARPERATIO60,0.091225885,return
REVS60,0.090309535,obos
ACD20,0.089434748,ma
TRIX5,0.08860879,trend
AR,0.087892921,power
TREYNORRATIO20,0.087360748,return
MACD,0.085372202,trend
CHAIKINVOLATILITY,0.084834774,trend
PRICE1Y,0.083164074,obos
CHAIKINOSCILLATOR,0.080409864,trend
AROONUP,0.074232046,trend
SHARPERATIO120,0.068180327,return
ALPHA120,0.067584434,return
INFORMATIONRATIO120,0.067482225,return
TREYNORRATIO60,0.066607766,return
REVS120,0.063844365,obos
PEHIST60,0.063299424,vs
AROON,0.05976048,trend
VDIFF,0.059352585,volume
UPRVI,0.056131589,obos
TREYNORRATIO120,0.051456218,return
WVAD,0.051340574,obos
VOLUMN3M,0.050694236,obos
GAINLOSSVARIANCERATIO20,0.050666687,return
TVSTD6,0.048415889,volume
REVS250,0.04726058,obos
RSTR12,0.047052967,power
GAINLOSSVARIANCERATIO60,0.044861397,return
PLRC12,0.043350304,trend
VOLATILITY,0.043218098,obos
JDQS20,0.038607395,power
ADX,0.0368561,trend
GAINVARIANCE20,0.035270174,return
DAVOL5,0.035007836,volume
GAINLOSSVARIANCERATIO120,0.034368,return
ADTM,0.032512997,obos
CHANDESU,0.032240843,obos
RSTR24,0.030230447,power
KLINGEROSCILLATOR,0.029034288,volume
COPPOCKCURVE,0.028698668,trend
VEMA5,0.027715086,volume
VOSC,0.026931618,volume
VSTD10,0.026225603,volume
APBMA,0.025990131,ma
REVS750,0.025983807,obos
PEHIST120,0.025907711,vs
