,key,score,feature_type
0,DEGM,0.005951205231527687,growth
1,OPERATINGPROFITGROWRATE,0.006233625902355786,growth
2,NPPARENTCOMPANYGROWRATE,0.0028528417661034876,growth
3,NETPROFITGROWRATE,0.002713160693564344,growth
4,EARNMOM,0.002582480774354119,growth
5,OPERATINGREVENUEGROWRATE,0.0036696153355159616,growth
6,NETCASHFLOWGROWRATE,9.667924199381424e-05,growth
7,OPERATINGREVENUEGROWRATE3Y,-0.0010969210739884502,growth
8,NPPARENTCOMPANYCUTYOY,0.0021914788382332005,growth
9,NETASSETGROWRATE,-0.0017713260807546661,growth
10,TOTALPROFITGROWRATE,0.0037222352731178052,growth
11,TOTALASSETGROWRATE,-0.0009411277686904792,growth
12,NETPROFITGROWRATE3Y,-0.0007862214335458058,growth
13,OPERATINGREVENUEGROWRATE5Y,4.448130603708283e-05,growth
14,NETPROFITGROWRATE5Y,3.5732935704820358e-06,growth
15,PEHIST60,0.07185465671287661,vs
16,PCFINDU,0.005404410037048679,vs
17,PSINDU,0.008442308614023506,vs
18,FORWARDPE,-0.0017187459893610439,vs
19,PEINDU,0.008551982404059414,vs
20,NIAP,0.006158721640070702,vs
21,TA2EV,0.00036230028633829246,vs
22,NEGMKTVALUE,0.012344399123015866,vs
23,LCAP,0.02289232398741705,vs
24,PBINDU,0.016927210861976297,vs
25,STATICPE,0.004769879211512369,vs
26,PEHIST120,0.029933594262636642,vs
27,NLSIZE,0.022198720407773053,vs
28,SGRO,-0.003540711850209031,vs
29,TOTALASSETS,0.003749044342872692,vs
30,PB,0.01756764399167679,vs
31,MKTVALUE,0.011293578671077201,vs
32,LFLO,0.02288072107742889,vs
33,CETOP,0.0011505515971080855,vs
34,ASSI,0.007856126667272487,vs
35,PEHIST250,0.015001310580780875,vs
36,TEAP,0.004493409286640019,vs
37,PE,0.0030882900655704783,vs
38,PCF,0.0017170381286549035,vs
39,PEG5Y,0.004326168799360898,vs
40,PS,0.009002881911896849,vs
41,PEHIST20,0.20856981792540996,vs
42,PEG3Y,0.0014250148963644725,vs
43,ALPHA20,0.1531285072599559,return
44,INFORMATIONRATIO20,0.14974732266146817,return
45,LOSSVARIANCE60,-0.021307635354703813,return
46,GAINLOSSVARIANCERATIO20,0.04552910301055991,return
47,TREYNORRATIO120,0.05366604235370712,return
48,ALPHA120,0.06826491174131068,return
49,SHARPERATIO60,0.09227276834942724,return
50,LOSSVARIANCE120,-0.016344129257841008,return
51,TREYNORRATIO60,0.0655336915800942,return
52,BETA60,-0.0007698847060020893,return
53,BETA120,-0.0019154075764788456,return
54,SHARPERATIO20,0.1482310611048907,return
55,KURTOSIS60,-0.0023847427270791634,return
56,SHARPERATIO120,0.06758081552647208,return
57,BETA252,0.10155258502317348,return
58,KURTOSIS120,-0.0029210816837534626,return
59,VARIANCE60,0.0026127596852192,return
60,INFORMATIONRATIO60,0.09370686822009945,return
61,HSIGMACNE5,-0.0007257170465232926,return
62,GAINLOSSVARIANCERATIO60,0.03047477242960415,return
63,REALIZEDVOLATILITY,0.14735762383271434,return
64,GAINLOSSVARIANCERATIO120,0.0185954177801584,return
65,TREYNORRATIO20,0.08573151579362673,return
66,ALPHA60,0.09450504510454877,return
67,GAINVARIANCE20,0.028602224939570348,return
68,VARIANCE120,-0.003170275927993368,return
69,GAINVARIANCE120,4.7831361933947544e-05,return
70,DASTD,0.005079763698614344,return
71,CMRACNE5,-0.00600849943098984,return
