,feature
0,UOS
1,TRIX5
2,VDIFF
3,VROC6
4,BullPower
5,ACD20
6,FiftyTwoWeekHigh
7,BR
8,REC
9,QuickRatio
10,MassIndex
11,PLRC6
12,PB
13,SwingIndex
14,VOL10
15,GREC
16,RVI
17,CCI5
18,chgPct
19,ASI
20,DBCD
21,ACD6
22,CCI10
23,BackwardADJ
24,OperatingExpenseRate
25,DDI
26,RC24
27,UpRVI
28,AroonUp
29,CCI20
30,RSTR24
31,Skewness
32,REVS10
33,OBV
34,OBV20
35,CR20
36,KlingerOscillator
37,WVAD
38,DEGM
39,ChaikinOscillator
40,Aroon
41,DAVOL5
42,RC12
43,LongDebtToWorkingCapital
44,GrossIncomeRatio
45,CMO
46,VDEA
47,EMV6
48,DAREC
49,REVS5
50,KDJ_D
51,BIAS20
52,VMACD
53,DIZ
54,DAVOL10
55,VOSC
56,PCF
57,ChandeSU
58,KDJ_K
59,KDJ_J
60,PS
61,EquityToAsset
62,PSY
63,MFI
64,REVS20
65,BIAS60
66,VOL5
67,plusDI
68,PE
69,BearPower
70,CCI88
71,JDQS20
72,CurrentRatio
73,ROC6
74,PLRC12
75,AR
76,VROC12
77,MTM
78,DAVOL20
79,DASREV
80,ILLIQUIDITY
81,OBV6
82,RSI
83,BIAS10
84,ROC20
85,VOL20
86,VR
87,Elder
88,MACD
89,BIAS5
90,SRMI
91,ARTDays
